Class,Precision,Recall,F1-Score,Support
A,0.7039159503342884,0.9282115869017632,0.8006518196632265,794
B,0.7457142857142857,0.9702602230483272,0.8432956381260096,807
C,0.7765151515151515,0.7387387387387387,0.7571560480147738,555
D,0.9405815423514539,0.8985507246376812,0.9190858554663373,828
E,0.7523680649526387,0.6261261261261262,0.6834665027658268,888
F,0.811304347826087,0.8505013673655424,0.8304405874499333,1097
G,0.9277605779153767,0.9645922746781116,0.9458179905312993,932
H,0.8808411214953271,0.8656716417910447,0.8731905037637522,871
I,0.8365591397849462,0.45872641509433965,0.5925361766945926,848
J,0.7515923566878981,0.7604726100966702,0.7560064068339561,931
K,0.7761194029850746,0.14786729857819905,0.2484076433121019,1055
L,0.5685733976567884,0.9493670886075949,0.7112068965517242,869
M,0.6510638297872341,0.4935483870967742,0.5614678899082568,310
N,0.8067226890756303,0.30094043887147337,0.4383561643835617,319
O,0.833578792341679,0.8575757575757575,0.8454070201643018,660
P,0.8858024691358025,0.7622841965471447,0.8194147037830122,753
Q,0.8115055079559363,0.8899328859060402,0.8489116517285531,745
R,0.5903790087463557,0.45302013422818793,0.5126582278481012,894
S,0.673,0.7205567451820128,0.6959669079627715,934
T,0.7895855472901169,0.8501144164759725,0.818732782369146,874
U,0.28561476837338906,0.8836206896551724,0.4316925506712293,928
V,0.8857142857142857,0.09567901234567901,0.17270194986072424,972
W,0.9875565610859729,0.9551422319474836,0.971078976640712,914
X,0.85578231292517,0.758745476477684,0.8043478260869565,829
Y,0.6810284920083391,0.962671905697446,0.7977207977207977,1018
Z,0.8957055214723927,0.33796296296296297,0.49075630252100844,864
_del,0.6901098901098901,0.7584541062801933,0.7226697353279632,414
_space,0.746268656716418,0.17064846416382254,0.2777777777777778,293
accuracy,0.7126509280951523
macro avg,0.7693308454270689,0.6932137109670693,0.6846758333545859,22196
weighted avg,0.7712857180342787,0.7126509280951523,0.695108165126978,22196
