Class,Precision,Recall,F1-Score,Support
A,0.8712871287128713,0.9974811083123426,0.9301233118027011,794
B,0.9769417475728155,0.9975216852540273,0.9871244635193133,807
C,0.9870848708487084,0.963963963963964,0.97538742023701,555
D,0.9232673267326733,0.9009661835748792,0.9119804400977994,828
E,0.8971499380421314,0.8153153153153153,0.8542772861356932,888
F,0.9917582417582418,0.9872379216043756,0.9894929191411604,1097
G,0.9392324093816631,0.9452789699570815,0.9422459893048127,932
H,0.9769319492502884,0.9724454649827784,0.9746835443037976,871
I,0.9515366430260047,0.9492924528301887,0.9504132231404958,848
J,0.9439746300211417,0.9591836734693877,0.9515183803942461,931
K,0.5793606281547953,0.9791469194312796,0.7279774489076816,1055
L,0.9292817679558011,0.9677790563866513,0.9481397970687712,869
M,0.7574468085106383,0.5741935483870968,0.653211009174312,310
N,0.8761061946902655,0.6206896551724138,0.726605504587156,319
O,0.9554896142433235,0.9757575757575757,0.9655172413793104,660
P,0.8438256658595642,0.9256308100929614,0.882837238758708,753
Q,0.9120234604105572,0.8348993288590604,0.8717589348283111,745
R,0.9431818181818182,0.3713646532438479,0.5329052969502408,894
S,0.8138056312443234,0.9593147751605996,0.8805896805896806,934
T,0.9773013871374527,0.8867276887871853,0.9298140371925615,874
U,0.5867768595041323,0.45905172413793105,0.5151148730350665,928
V,0.7882011605415861,0.838477366255144,0.8125623130608175,972
W,0.995475113122172,0.962800875273523,0.978865406006674,914
X,0.9590570719602978,0.9324487334137516,0.9455657492354741,829
Y,1.0,0.9891944990176817,0.994567901234568,1018
Z,0.9322617680826636,0.9398148148148148,0.9360230547550432,864
_del,0.9170506912442397,0.961352657004831,0.9386792452830189,414
_space,0.9712230215827338,0.9215017064846417,0.9457092819614711,293
accuracy,0.8879077311227248
macro avg,0.8998940552776036,0.8781726116766189,0.8804889640030676,22196
weighted avg,0.8978383103056354,0.8879077311227248,0.8838144743195708,22196
