Class,Precision,Recall,F1-Score,Support
A,0.9789603960396039,0.9962216624685138,0.9875156054931336,794
B,0.9889570552147239,0.9987608426270136,0.9938347718865599,807
C,0.971830985915493,0.9945945945945946,0.9830810329474622,555
D,0.9891041162227603,0.9867149758454107,0.9879081015719469,828
E,0.9909502262443439,0.9864864864864865,0.9887133182844244,888
F,0.9954296160877514,0.9927073837739289,0.9940666362391601,1097
G,0.9914712153518124,0.9978540772532188,0.9946524064171122,932
H,0.9953917050691244,0.9919632606199771,0.9936745255894193,871
I,0.9892857142857143,0.9799528301886793,0.9845971563981044,848
J,0.9860813704496788,0.9892588614393125,0.9876675603217159,931
K,0.9989395546129375,0.8928909952606635,0.9429429429429429,1055
L,0.994279176201373,1.0,0.9971313826735513,869
M,0.8629629629629629,0.7516129032258064,0.8034482758620689,310
N,0.7960339943342776,0.8808777429467085,0.8363095238095238,319
O,0.9816232771822359,0.9712121212121212,0.9763899466869764,660
P,0.9848066298342542,0.9468791500664011,0.9654705484089371,753
Q,0.9540682414698163,0.9758389261744966,0.9648307896483079,745
R,0.9920844327176781,0.8411633109619687,0.9104116222760291,894
S,0.9851222104144527,0.9925053533190579,0.9888,934
T,0.9942196531791907,0.9839816933638444,0.9890741805635422,874
U,0.8466730954676953,0.9461206896551724,0.8936386768447838,928
V,0.866546438232642,0.9886831275720165,0.9235944257568477,972
W,0.9955106621773289,0.9704595185995624,0.9828254847645429,914
X,0.9764150943396226,0.9987937273823885,0.9874776386404293,829
Y,1.0,0.9970530451866405,0.9985243482538122,1018
Z,0.9976825028968713,0.9965277777777778,0.9971048060220035,864
_del,0.9625292740046838,0.9927536231884058,0.9774078478002377,414
_space,0.9895833333333334,0.9726962457337884,0.9810671256454389,293
accuracy,0.9708055505496486
macro avg,0.9663051047943699,0.9648058902472841,0.9647200243481792,22196
weighted avg,0.9724722709728064,0.9708055505496486,0.9708265911349767,22196
